[2026-05-10T22:17:21.499Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.500Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.2s coverage=100% latency=0ms
[2026-05-10T22:17:21.506Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.506Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.508Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.508Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.522Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.524Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.2s coverage=100% latency=0ms
[2026-05-10T22:17:21.525Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.527Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.2s coverage=100% latency=0ms
[2026-05-10T22:17:21.529Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.529Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.2s coverage=100% latency=0ms
[2026-05-10T22:17:21.543Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.545Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.1 tick_age=15.2s coverage=100% latency=0ms
[2026-05-10T22:17:21.565Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.566Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.1 tick_age=15.2s coverage=100% latency=0ms
[2026-05-10T22:17:21.569Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.569Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.1 tick_age=15.2s coverage=100% latency=0ms
[2026-05-10T22:17:21.574Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.579Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.2s coverage=100% latency=0ms
[2026-05-10T22:17:21.582Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.583Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.2s coverage=100% latency=0ms
[2026-05-10T22:17:21.593Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.593Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.597Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.597Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.598Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.599Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.609Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.610Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.611Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.612Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.613Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.613Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.616Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.618Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.627Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.627Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.643Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.644Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.646Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.647Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.651Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.654Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.655Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.656Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.658Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.658Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.668Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.671Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.673Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.674Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.676Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.676Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.685Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.688Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.695Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.696Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.2s coverage=100% latency=0ms
[2026-05-10T22:17:21.705Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.706Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.709Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.710Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.714Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.717Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.727Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.727Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.0s coverage=100% latency=0ms
[2026-05-10T22:17:21.732Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.733Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.1s coverage=100% latency=0ms
[2026-05-10T22:17:21.739Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.740Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.0s coverage=100% latency=0ms
[2026-05-10T22:17:21.744Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.746Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.0s coverage=100% latency=0ms
[2026-05-10T22:17:21.757Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.757Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.0s coverage=100% latency=0ms
[2026-05-10T22:17:21.797Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.797Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.0s coverage=100% latency=0ms
[2026-05-10T22:17:21.803Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.804Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.0s coverage=100% latency=0ms
[2026-05-10T22:17:21.805Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.806Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.0s coverage=100% latency=0ms
[2026-05-10T22:17:21.807Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.807Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.0s coverage=100% latency=0ms
[2026-05-10T22:17:21.810Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.813Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.0s coverage=100% latency=0ms
[2026-05-10T22:17:21.826Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.828Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.0s coverage=100% latency=0ms
[2026-05-10T22:17:21.831Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.832Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.0s coverage=100% latency=0ms
[2026-05-10T22:17:21.834Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.835Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.0s coverage=100% latency=0ms
[2026-05-10T22:17:21.837Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.838Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.0s coverage=100% latency=0ms
[2026-05-10T22:17:21.845Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.846Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.0s coverage=100% latency=0ms
[2026-05-10T22:17:21.848Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.848Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.0s coverage=100% latency=0ms
[2026-05-10T22:17:21.848Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.854Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.0s coverage=100% latency=0ms
[2026-05-10T22:17:21.854Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.856Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.0s coverage=100% latency=0ms
[2026-05-10T22:17:21.860Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.861Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.0s coverage=100% latency=0ms
[2026-05-10T22:17:21.862Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.862Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.0s coverage=100% latency=0ms
[2026-05-10T22:17:21.869Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.870Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.0s coverage=100% latency=0ms
[2026-05-10T22:17:21.879Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-10T22:17:21.880Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=91.2 tick_age=15.0s coverage=100% latency=0ms
[2026-05-10T22:17:21.883Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
