[2026-05-11T12:37:11.846Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-0.2s coverage=100% latency=0ms
[2026-05-11T12:37:11.848Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-11T12:37:11.848Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-0.2s coverage=100% latency=0ms
[2026-05-11T12:37:11.857Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-11T12:37:11.857Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-0.2s coverage=100% latency=0ms
[2026-05-11T12:37:11.886Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-11T12:37:11.886Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-0.2s coverage=100% latency=0ms
[2026-05-11T12:37:12.011Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-11T12:37:12.012Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-0.2s coverage=100% latency=0ms
[2026-05-11T12:37:12.050Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-11T12:37:12.050Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-0.2s coverage=100% latency=0ms
[2026-05-11T12:37:12.071Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-11T12:37:12.071Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-0.2s coverage=100% latency=0ms
[2026-05-11T12:37:12.074Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-11T12:37:12.075Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-0.2s coverage=100% latency=0ms
