[2026-05-06T08:54:14.636Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.1s coverage=100% latency=0ms
[2026-05-06T08:54:14.690Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:14.691Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.1s coverage=100% latency=0ms
[2026-05-06T08:54:14.728Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:14.729Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.2s coverage=100% latency=0ms
[2026-05-06T08:54:14.735Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:14.736Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.3s coverage=100% latency=0ms
[2026-05-06T08:54:14.775Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:14.777Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.3s coverage=100% latency=0ms
[2026-05-06T08:54:14.784Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:14.785Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.2s coverage=100% latency=0ms
[2026-05-06T08:54:14.797Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:14.797Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.3s coverage=100% latency=0ms
[2026-05-06T08:54:14.917Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:14.919Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.2s coverage=100% latency=0ms
[2026-05-06T08:54:14.933Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:14.934Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.3s coverage=100% latency=0ms
[2026-05-06T08:54:14.952Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:14.953Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.2s coverage=100% latency=0ms
[2026-05-06T08:54:14.954Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:14.955Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.2s coverage=100% latency=0ms
[2026-05-06T08:54:15.058Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:15.059Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.3s coverage=100% latency=0ms
[2026-05-06T08:54:15.061Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:15.062Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.3s coverage=100% latency=0ms
[2026-05-06T08:54:15.096Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:15.101Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.2s coverage=100% latency=0ms
[2026-05-06T08:54:15.107Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:15.109Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.2s coverage=100% latency=0ms
[2026-05-06T08:54:15.118Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:15.120Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.2s coverage=100% latency=0ms
[2026-05-06T08:54:15.169Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:15.170Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.2s coverage=100% latency=0ms
[2026-05-06T08:54:15.248Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:15.248Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.2s coverage=100% latency=0ms
[2026-05-06T08:54:15.252Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:15.252Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.2s coverage=100% latency=0ms
[2026-05-06T08:54:15.255Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:15.255Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.2s coverage=100% latency=0ms
[2026-05-06T08:54:15.257Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:15.258Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.2s coverage=100% latency=0ms
[2026-05-06T08:54:15.260Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:15.261Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.2s coverage=100% latency=0ms
[2026-05-06T08:54:15.262Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:15.262Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.2s coverage=100% latency=0ms
[2026-05-06T08:54:15.264Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:15.264Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.2s coverage=100% latency=0ms
[2026-05-06T08:54:15.266Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:15.267Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.2s coverage=100% latency=0ms
[2026-05-06T08:54:15.406Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:15.407Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.2s coverage=100% latency=0ms
[2026-05-06T08:54:15.444Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:15.444Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.1s coverage=100% latency=0ms
[2026-05-06T08:54:15.451Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:15.452Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.1s coverage=100% latency=0ms
[2026-05-06T08:54:15.459Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:15.461Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.1s coverage=100% latency=0ms
[2026-05-06T08:54:15.502Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:15.503Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.1s coverage=100% latency=0ms
[2026-05-06T08:54:15.526Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-06T08:54:15.527Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=100.0 tick_age=-1.1s coverage=100% latency=0ms
[2026-05-06T08:54:15.570Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
