[2026-05-28T20:52:33.989Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-28T20:52:33.989Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=95.5 tick_age=7.7s coverage=100% latency=0ms
[2026-05-28T20:52:33.990Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-28T20:52:33.991Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=95.5 tick_age=7.7s coverage=100% latency=0ms
[2026-05-28T20:52:33.993Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-28T20:52:33.994Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=95.5 tick_age=7.7s coverage=100% latency=0ms
[2026-05-28T20:52:34.021Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-28T20:52:34.022Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=95.5 tick_age=7.7s coverage=100% latency=0ms
[2026-05-28T20:52:34.024Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-28T20:52:34.025Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=95.5 tick_age=7.7s coverage=100% latency=0ms
[2026-05-28T20:52:34.027Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-28T20:52:34.027Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=95.5 tick_age=7.7s coverage=100% latency=0ms
[2026-05-28T20:52:34.029Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-28T20:52:34.030Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=95.5 tick_age=7.7s coverage=100% latency=0ms
[2026-05-28T20:52:34.031Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-28T20:52:34.031Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=95.5 tick_age=7.7s coverage=100% latency=0ms
[2026-05-28T20:52:34.032Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-28T20:52:34.033Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=95.5 tick_age=7.7s coverage=100% latency=0ms
[2026-05-28T20:52:34.078Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-28T20:52:34.079Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=95.5 tick_age=7.8s coverage=100% latency=0ms
[2026-05-28T20:52:34.082Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-28T20:52:34.087Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=95.5 tick_age=7.8s coverage=100% latency=0ms
[2026-05-28T20:52:34.119Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-28T20:52:34.121Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=95.4 tick_age=7.8s coverage=100% latency=0ms
[2026-05-28T20:52:34.126Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
[2026-05-28T20:52:34.126Z] DEBUG    | data_health                    | [DATA-HEALTH] OK score=95.4 tick_age=7.8s coverage=100% latency=0ms
[2026-05-28T20:52:34.127Z] DEBUG    | indicator_validator            | [INDICATOR-VALIDATOR] OK — 7 checks passed
